version,date,source
2024-03-25,2024-03-25,sourceforge
99.0.7,2026-09-18,github
7.5.3,2026-07-02,github
7.5.2,2026-03-03,github
7.5.1,2026-03-02,github
7.5.0,2026-02-27,sourceforge
7.4.3,2025-04-21,github
7.4.2,2025-04-20,github
7.4.1,2025-04-18,github
7.4.0,2025-04-14,github
7.3.1,2025-04-04,github
7.3.0,2025-04-03,github
7.2.0,2025-04-01,github
7.1.1,2025-03-28,github
7.1.0,2025-03-28,github
7.0.7,2025-03-27,github
7.0.6,2025-03-24,github
7.0.5,2025-03-24,sourceforge
7.0.4,2025-02-14,sourceforge
7.0.3,2025-02-05,sourceforge
7.0.2,2024-12-04,github
7.0.1,2024-10-31,github
7.0.0,2024-09-27,github
6.9.4,2024-09-14,github
6.9.3,2024-08-02,github
6.9.2,2024-08-01,github
6.9.1,2024-08-01,sourceforge
6.9.0,2024-07-20,github
6.8.4,2024-07-10,github
6.8.3,2024-06-25,github
6.8.2,2024-06-25,github
6.8.1,2024-04-08,github
6.8.0,2024-03-25,github
6.7.3,2024-02-26,sourceforge
6.7.1,2024-02-20,sourceforge
6.7.0,2024-02-09,sourceforge
6.6.4,2023-11-29,sourceforge
6.6.3,2023-11-22,sourceforge
6.6.2,2023-11-15,sourceforge
6.5.2,2023-10-31,sourceforge
6.5.1,2023-10-26,sourceforge
6.5.0,2023-10-25,sourceforge
6.4.0,2023-10-24,sourceforge
6.3.0,2023-10-24,sourceforge
6.2.1,2023-10-17,sourceforge
6.2.0,2023-10-14,sourceforge
6.1.0,2023-08-16,sourceforge
6.0.3,2023-04-11,sourceforge
6.0.2,2023-04-05,sourceforge
6.0.0,2023-04-05,sourceforge
5.8.1,2021-07-12,sourceforge
5.8.0,2021-06-18,sourceforge
5.7.4,2018-05-30,sourceforge
5.7.3,2018-04-18,sourceforge
5.7.2,2017-08-29,sourceforge
5.7.1,2017-06-26,sourceforge
5.7.0,2017-05-19,sourceforge
5.6.0,2017-04-05,sourceforge
5.5.8,2017-02-06,sourceforge
5.5.7,2016-10-26,sourceforge
5.5.6,2016-07-20,sourceforge
5.5.5,2015-11-03,sourceforge
5.5.4,2015-08-25,sourceforge
5.5.3,2015-06-24,sourceforge
5.5.2,2015-03-24,sourceforge
5.5.1,2015-03-18,sourceforge
5.5.0,2015-02-09,sourceforge
5.4.0,2014-12-07,sourceforge
5.3.6,2014-11-04,sourceforge
5.3.5,2014-10-28,sourceforge
5.3.3,2014-10-22,sourceforge
5.3.1,2014-09-29,sourceforge
5.3.0,2014-08-28,sourceforge
5.2.4,2014-08-23,sourceforge
5.2.3,2014-08-16,sourceforge
5.2.2,2014-08-14,sourceforge
5.2.1,2014-08-12,sourceforge
5.2.0,2014-07-18,sourceforge
5.1.2,2014-07-17,sourceforge
5.0.1,2014-06-17,sourceforge
4.10.0,2014-05-23,sourceforge
4.9.4,2014-05-21,sourceforge
4.9.3,2014-02-26,sourceforge
4.9.2,2013-12-10,sourceforge
4.9.1,2013-12-09,sourceforge
4.9.0,2013-12-03,sourceforge
4.8.7,2013-04-29,sourceforge
4.8.6,2013-04-14,sourceforge
4.8.5,2013-03-26,sourceforge
4.8.4,2013-03-25,sourceforge
4.8.3,2013-03-21,sourceforge
4.8.2,2013-03-19,sourceforge
4.8.1,2013-03-18,sourceforge
4.7.1,2012-11-16,sourceforge
4.6.0,2012-10-14,sourceforge
4.5.2,2012-06-06,sourceforge
4.5.1,2012-05-28,sourceforge
4.5.0,2012-05-19,sourceforge
4.4.5,2011-10-10,sourceforge
4.4.4,2011-10-06,sourceforge
4.4.3,2011-10-05,sourceforge
4.4.2,2011-06-29,sourceforge
4.4.1,2011-06-17,sourceforge
4.4.0,2011-06-16,sourceforge
4.3.1,2011-03-09,sourceforge
4.3.0,2011-02-28,sourceforge
4.2.0,2011-01-21,sourceforge
4.1.0,2010-12-15,sourceforge
4.0.2,2010-08-25,sourceforge
4.0.1,2010-06-07,sourceforge
4.0.0,2010-06-03,sourceforge
3.3.1,2010-01-07,sourceforge
3.3.0,2009-12-25,sourceforge
3.2.2,2009-06-11,sourceforge
3.2.1,2009-01-05,sourceforge
3.2.0,2008-11-21,sourceforge
3.1.1,2008-11-11,sourceforge
3.0.1,2008-06-23,sourceforge
3.0.0,2008-03-19,sourceforge
2.0.3,2008-01-10,sourceforge
2.0.2,2007-12-19,sourceforge
2.0.0,2007-12-06,sourceforge
1.8.0,2007-10-25,sourceforge
1.6.0,2007-06-05,sourceforge
1.4.2,2007-03-15,sourceforge
1.4.1,2007-02-01,sourceforge
1.4.0,2006-03-17,sourceforge
1.2.0,2005-06-14,sourceforge
1.1.2,2005-01-20,sourceforge
1.1.1,2005-01-13,sourceforge
1.1.0,2005-01-11,sourceforge
1.0.0,2004-10-27,sourceforge
0.2.4,2004-10-28,sourceforge
