date,tag,asset,count
2026-09-13,release-7_5_3,groove-7_5_3-bin+doc.zip,9
2026-09-13,release-7_5_3,groove-7_5_3-bin.zip,9
2026-09-13,release-7_5_2,groove-7_5_2-bin+doc.zip,18
2026-09-13,release-7_5_2,groove-7_5_2-bin.zip,25
2026-09-13,release-7_5_1,groove-7_5_1-bin+doc.zip,5
2026-09-13,release-7_5_1,groove-7_5_1-bin.zip,6
2026-09-13,release-7_4_3,groove-7_4_3-bin+doc.zip,56
2026-09-13,release-7_4_3,groove-7_4_3-bin.zip,41
2026-09-13,release-7_4_2,groove-7_4_2-bin+doc.zip,3
2026-09-13,release-7_4_2,groove-7_4_2-bin.zip,3
2026-09-13,release-7_4_1,groove-7_4_1-bin+doc.zip,3
2026-09-13,release-7_4_1,groove-7_4_1-bin.zip,3
2026-09-13,release-7_4_0,groove-7_4_0-bin+doc.zip,3
2026-09-13,release-7_4_0,groove-7_4_0-bin.zip,4
2026-09-13,release-7_3_1,groove-7_3_1-bin+doc.zip,4
2026-09-13,release-7_3_1,groove-7_3_1-bin.zip,9
2026-09-13,release-7_3_0,groove-7_3_0-bin+doc.zip,9
2026-09-13,release-7_3_0,groove-7_3_0-bin.zip,7
2026-09-13,release-7_2_0,groove-7_2_0-bin+doc.zip,4
2026-09-13,release-7_2_0,groove-7_2_0-bin.zip,4
2026-09-13,release-7_1_1,groove-7_1_1-bin+doc.zip,5
2026-09-13,release-7_1_1,groove-7_1_1-bin.zip,7
2026-09-13,release-7_1_0,groove-7_1_0-bin+doc.zip,3
2026-09-13,release-7_1_0,groove-7_1_0-bin.zip,3
2026-09-13,release-7_0_7,groove-7_0_7-bin+doc.zip,4
2026-09-13,release-7_0_7,groove-7_0_7-bin.zip,6
2026-09-13,release-7_0_6,groove-7_0_6-bin+doc.zip,6
2026-09-13,release-7_0_6,groove-7_0_6-bin.zip,9
2026-09-13,release-7_0_2,groove-7_0_2-bin+doc.zip,25
2026-09-13,release-7_0_2,groove-7_0_2-bin.zip,21
2026-09-13,release-7_0_1,groove-7_0_1-bin+doc.zip,14
2026-09-13,release-7_0_1,groove-7_0_1-bin.zip,9
2026-09-13,release-7_0_0,groove-7_0_0-bin+doc.zip,3
2026-09-13,release-7_0_0,groove-7_0_0-bin.zip,4
2026-09-13,release-6_9_4,groove-6_9_4-bin+doc.zip,3
2026-09-13,release-6_9_4,groove-6_9_4-bin.zip,8
2026-09-13,release-6_9_3,groove-6_9_3-bin+doc.zip,5
2026-09-13,release-6_9_3,groove-6_9_3-bin.zip,6
2026-09-13,release-6_9_2,groove-6_9_2-bin+doc.zip,2
2026-09-13,release-6_9_2,groove-6_9_2-bin.zip,2
2026-09-13,release-6_9_0,groove-6_9_0-bin+doc.zip,6
2026-09-13,release-6_9_0,groove-6_9_0-bin.zip,6
2026-09-13,release-6_8_4,groove-6_8_4-bin+doc.zip,6
2026-09-13,release-6_8_4,groove-6_8_4-bin.zip,4
2026-09-13,release-6_8_3,groove-6_8_3-bin+doc.zip,4
2026-09-13,release-6_8_3,groove-6_8_3-bin.zip,6
2026-09-13,release-6_8_2,groove-6_8_2-bin+doc.zip,2
2026-09-13,release-6_8_2,groove-6_8_2-bin.zip,2
2026-09-13,release-6_8_1,groove-6_8_1-bin+doc.zip,31
2026-09-13,release-6_8_1,groove-6_8_1-bin.zip,29
2026-09-13,release-6_8_0,groove-6_8_0-bin+doc.zip,8
2026-09-13,release-6_8_0,groove-6_8_0-bin.zip,12
2026-09-14,release-99_0_4,groove-99_0_4-bin+doc.zip,5
2026-09-14,release-99_0_4,groove-99_0_4-bin.zip,5
2026-09-14,release-99_0_4,groove-99_0_4-linux-x64.deb,4
2026-09-14,release-99_0_4,groove-99_0_4-macos-aarch64.dmg,3
2026-09-14,release-99_0_4,groove-99_0_4-macos-x64.dmg,2
2026-09-14,release-99_0_4,groove-99_0_4-windows-x64.msi,2
2026-09-14,release-99_0_4,groove-99_0_4-yfiles-addon.zip,6
2026-09-14,release-99_0_4,IF-WINDOWS-OR-MACOS-BLOCKS-THE-INSTALLER.txt,5
2026-09-14,release-99_0_3,groove-99_0_3-bin+doc.zip,6
2026-09-14,release-99_0_3,groove-99_0_3-bin.zip,6
2026-09-14,release-99_0_3,groove-99_0_3-linux-x64.deb,5
2026-09-14,release-99_0_3,groove-99_0_3-macos-aarch64.dmg,4
2026-09-14,release-99_0_3,groove-99_0_3-macos-x64.dmg,2
2026-09-14,release-99_0_3,groove-99_0_3-windows-x64.msi,5
2026-09-14,release-99_0_3,groove-99_0_3-yfiles-addon.zip,7
2026-09-14,release-99_0_3,IF-WINDOWS-OR-MACOS-BLOCKS-THE-INSTALLER.txt,6
2026-09-14,release-7_5_3,groove-7_5_3-bin+doc.zip,9
2026-09-14,release-7_5_3,groove-7_5_3-bin.zip,9
2026-09-14,release-7_5_2,groove-7_5_2-bin+doc.zip,18
2026-09-14,release-7_5_2,groove-7_5_2-bin.zip,25
2026-09-14,release-7_5_1,groove-7_5_1-bin+doc.zip,5
2026-09-14,release-7_5_1,groove-7_5_1-bin.zip,6
2026-09-14,release-7_4_3,groove-7_4_3-bin+doc.zip,56
2026-09-14,release-7_4_3,groove-7_4_3-bin.zip,41
2026-09-14,release-7_4_2,groove-7_4_2-bin+doc.zip,3
2026-09-14,release-7_4_2,groove-7_4_2-bin.zip,3
2026-09-14,release-7_4_1,groove-7_4_1-bin+doc.zip,3
2026-09-14,release-7_4_1,groove-7_4_1-bin.zip,3
2026-09-14,release-7_4_0,groove-7_4_0-bin+doc.zip,3
2026-09-14,release-7_4_0,groove-7_4_0-bin.zip,4
2026-09-14,release-7_3_1,groove-7_3_1-bin+doc.zip,4
2026-09-14,release-7_3_1,groove-7_3_1-bin.zip,9
2026-09-14,release-7_3_0,groove-7_3_0-bin+doc.zip,9
2026-09-14,release-7_3_0,groove-7_3_0-bin.zip,7
2026-09-14,release-7_2_0,groove-7_2_0-bin+doc.zip,4
2026-09-14,release-7_2_0,groove-7_2_0-bin.zip,4
2026-09-14,release-7_1_1,groove-7_1_1-bin+doc.zip,5
2026-09-14,release-7_1_1,groove-7_1_1-bin.zip,7
2026-09-14,release-7_1_0,groove-7_1_0-bin+doc.zip,3
2026-09-14,release-7_1_0,groove-7_1_0-bin.zip,3
2026-09-14,release-7_0_7,groove-7_0_7-bin+doc.zip,4
2026-09-14,release-7_0_7,groove-7_0_7-bin.zip,6
2026-09-14,release-7_0_6,groove-7_0_6-bin+doc.zip,6
2026-09-14,release-7_0_6,groove-7_0_6-bin.zip,9
2026-09-14,release-7_0_2,groove-7_0_2-bin+doc.zip,25
2026-09-14,release-7_0_2,groove-7_0_2-bin.zip,21
2026-09-14,release-7_0_1,groove-7_0_1-bin+doc.zip,14
2026-09-14,release-7_0_1,groove-7_0_1-bin.zip,9
2026-09-14,release-7_0_0,groove-7_0_0-bin+doc.zip,3
2026-09-14,release-7_0_0,groove-7_0_0-bin.zip,4
2026-09-14,release-6_9_4,groove-6_9_4-bin+doc.zip,3
2026-09-14,release-6_9_4,groove-6_9_4-bin.zip,8
2026-09-14,release-6_9_3,groove-6_9_3-bin+doc.zip,5
2026-09-14,release-6_9_3,groove-6_9_3-bin.zip,6
2026-09-14,release-6_9_2,groove-6_9_2-bin+doc.zip,2
2026-09-14,release-6_9_2,groove-6_9_2-bin.zip,2
2026-09-14,release-6_9_0,groove-6_9_0-bin+doc.zip,6
2026-09-14,release-6_9_0,groove-6_9_0-bin.zip,6
2026-09-14,release-6_8_4,groove-6_8_4-bin+doc.zip,6
2026-09-14,release-6_8_4,groove-6_8_4-bin.zip,4
2026-09-14,release-6_8_3,groove-6_8_3-bin+doc.zip,4
2026-09-14,release-6_8_3,groove-6_8_3-bin.zip,6
2026-09-14,release-6_8_2,groove-6_8_2-bin+doc.zip,2
2026-09-14,release-6_8_2,groove-6_8_2-bin.zip,2
2026-09-14,release-6_8_1,groove-6_8_1-bin+doc.zip,31
2026-09-14,release-6_8_1,groove-6_8_1-bin.zip,29
2026-09-14,release-6_8_0,groove-6_8_0-bin+doc.zip,8
2026-09-14,release-6_8_0,groove-6_8_0-bin.zip,12
2026-09-15,release-99_0_5,groove-99_0_5-bin+doc.zip,0
2026-09-15,release-99_0_5,groove-99_0_5-bin.zip,0
2026-09-15,release-99_0_5,groove-99_0_5-linux-x64.deb,0
2026-09-15,release-99_0_5,groove-99_0_5-macos-aarch64.dmg,0
2026-09-15,release-99_0_5,groove-99_0_5-macos-x64.dmg,0
2026-09-15,release-99_0_5,groove-99_0_5-windows-x64.msi,1
2026-09-15,release-99_0_5,groove-99_0_5-yfiles-addon.zip,1
2026-09-15,release-99_0_5,IF-WINDOWS-OR-MACOS-BLOCKS-THE-INSTALLER.txt,0
2026-09-15,release-7_5_3,groove-7_5_3-bin+doc.zip,9
2026-09-15,release-7_5_3,groove-7_5_3-bin.zip,9
2026-09-15,release-7_5_2,groove-7_5_2-bin+doc.zip,18
2026-09-15,release-7_5_2,groove-7_5_2-bin.zip,25
2026-09-15,release-7_5_1,groove-7_5_1-bin+doc.zip,5
2026-09-15,release-7_5_1,groove-7_5_1-bin.zip,6
2026-09-15,release-7_4_3,groove-7_4_3-bin+doc.zip,56
2026-09-15,release-7_4_3,groove-7_4_3-bin.zip,41
2026-09-15,release-7_4_2,groove-7_4_2-bin+doc.zip,3
2026-09-15,release-7_4_2,groove-7_4_2-bin.zip,3
2026-09-15,release-7_4_1,groove-7_4_1-bin+doc.zip,3
2026-09-15,release-7_4_1,groove-7_4_1-bin.zip,3
2026-09-15,release-7_4_0,groove-7_4_0-bin+doc.zip,3
2026-09-15,release-7_4_0,groove-7_4_0-bin.zip,4
2026-09-15,release-7_3_1,groove-7_3_1-bin+doc.zip,4
2026-09-15,release-7_3_1,groove-7_3_1-bin.zip,9
2026-09-15,release-7_3_0,groove-7_3_0-bin+doc.zip,9
2026-09-15,release-7_3_0,groove-7_3_0-bin.zip,7
2026-09-15,release-7_2_0,groove-7_2_0-bin+doc.zip,4
2026-09-15,release-7_2_0,groove-7_2_0-bin.zip,4
2026-09-15,release-7_1_1,groove-7_1_1-bin+doc.zip,5
2026-09-15,release-7_1_1,groove-7_1_1-bin.zip,7
2026-09-15,release-7_1_0,groove-7_1_0-bin+doc.zip,3
