month,path,count
2007-01,OldFiles,2
2007-01,groove-docs,28
2007-01,groove-samples,16
2007-01,groove/1.1.0,4
2007-01,groove/1.1.1,4
2007-01,groove/1.1.2,4
2007-01,groove/1.2.0,3
2007-01,groove/1.4.0,54
2007-02,OldFiles,2
2007-02,groove-docs,38
2007-02,groove-samples,3
2007-02,groove/1.4.1,46
2007-03,OldFiles,9
2007-03,groove-docs,41
2007-03,groove-samples,27
2007-03,groove/1.4.0,20
2007-03,groove/1.4.1,42
2007-03,groove/1.4.2,53
2007-04,groove-docs,30
2007-04,groove-samples,30
2007-04,groove/0.2.4,3
2007-04,groove/1.0.0,3
2007-04,groove/1.1.0,3
2007-04,groove/1.1.1,3
2007-04,groove/1.1.2,6
2007-04,groove/1.2.0,6
2007-04,groove/1.4.0,4
2007-04,groove/1.4.1,5
2007-04,groove/1.4.2,80
2007-05,groove-docs,11
2007-05,groove-samples,18
2007-05,groove/1.1.2,2
2007-05,groove/1.2.0,3
2007-05,groove/1.4.0,1
2007-05,groove/1.4.2,47
2007-06,groove-docs,19
2007-06,groove-samples,20
2007-06,groove/1.4.0,2
2007-06,groove/1.4.1,5
2007-06,groove/1.4.2,14
2007-06,groove/1.6.0,27
2007-07,groove-samples,10
2007-07,groove/1.4.2,2
2007-07,groove/1.6.0,32
2007-08,groove-samples,17
2007-08,groove/1.4.2,4
2007-08,groove/1.6.0,25
2007-09,groove-docs,4
2007-09,groove-samples,28
2007-09,groove/0.2.4,5
2007-09,groove/1.0.0,1
2007-09,groove/1.1.0,3
2007-09,groove/1.1.1,3
2007-09,groove/1.1.2,3
2007-09,groove/1.2.0,6
2007-09,groove/1.4.0,4
2007-09,groove/1.4.1,1
2007-09,groove/1.4.2,6
2007-09,groove/1.6.0,35
2007-10,groove-docs,20
2007-10,groove-samples,29
2007-10,groove/0.2.4,11
2007-10,groove/1.0.0,5
2007-10,groove/1.1.0,3
2007-10,groove/1.1.1,2
2007-10,groove/1.1.2,2
2007-10,groove/1.2.0,1
2007-10,groove/1.4.1,3
2007-10,groove/1.4.2,11
2007-10,groove/1.6.0,44
2007-10,groove/1.8.0,26
2007-11,groove-docs,10
2007-11,groove-samples,52
2007-11,groove/0.2.4,2
2007-11,groove/1.1.1,1
2007-11,groove/1.1.2,1
2007-11,groove/1.4.0,1
2007-11,groove/1.4.2,5
